photo.code,str.code,lado,site,origin,spp,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN7856,169,1,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,150.25,10,0,0,0,0,,Monica
DSCN7857,169,2,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,151.29,11,0,0,0,0,,Monica
DSCN7858,169,3,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,151.36,11,0,0,0,0,,Monica
DSCN7859,169,4,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,155.87,12,0,0,0,0,,Monica
DSCN7860,169,5,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,90.671,11,0,0,0,0,,Monica
DSCN7861,169,6,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,196.95,11,0,0,0,0,,Monica
DSCN7862,169,7,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,345.13,20,0,0,0,0,,Monica
DSCN7849,170,1,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,NA,NA,NA,NA,NA,NA,,Monica
DSCN7850,170,2,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,124.558,8,0,0,0,0,,Monica
DSCN7851,170,3,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,129.642,7,0,0,0,0,,Monica
DSCN7852,170,4,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,144.038,8,0,0,0,0,,Monica
DSCN7853,170,5,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,145.425,8,0,0,0,0,,Monica
DSCN7854,170,6,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,112.457,7,0,0,0,0,,Monica
DSCN7855,170,7,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,230.449,12,0,0,0,0,,Monica
DSCN7870,171,1,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,61.551,10,0,0,0,0,,Monica
DSCN7871,171,2,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,68.977,11,0,0,0,0,,Monica
DSCN7872,171,3,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,106.816,11,0,0,0,0,,Monica
DSCN7873,171,4,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,108.529,11,0,0,0,0,,Monica
DSCN7874,171,5,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,111.55,9,0,0,0,0,,Monica
DSCN7875,171,6,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,67.6,10,0,0,0,0,,Monica
DSCN7876,171,7,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,198.005,18,0,0,0,0,,Monica
DSCN7863,172,1,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,129.188,10,0,0,0,0,,Monica
DSCN7864,172,2,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,130.736,10,0,0,0,0,,Monica
DSCN7865,172,3,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,77.553,10,0,0,0,0,,Monica
DSCN7866,172,4,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,118.75,10,0,0,0,0,,Monica
DSCN7867,172,5,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,135.37,10,0,0,0,0,,Monica
DSCN7868,172,6,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,114.55,11,0,0,0,0,,Monica
DSCN7869,172,7,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,390.628,19,0,0,0,0,,Monica
DSCN7877,175,1,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,12.705,2,0,0,0,0,,Monica
DSCN7878,175,2,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,13.058,1,0,0,0,0,,Monica
DSCN7879,175,3,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,22.613,6,0,0,0,0,,Monica
DSCN7880,175,4,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,77.978,9,1,1,0,0,,Monica
DSCN7881,175,5,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,84.69,11,0,0,0,0,,Monica
DSCN7882,175,6,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,128.33,11,0,0,0,0,,Monica
DSCN7883,175,7,Guiri,,Pocillopora spp,arana,,18/12/2020,12,2020,dic-2020,146.443,10,1,0,0,0,,Monica
DSCN8407,169,1,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,208.118,13,0,0,0,0,,Monica
DSCN8408,169,2,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,245.669,11,0,0,0,0,,Monica
DSCN8409,169,3,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,245.856,11,0,0,0,0,,Monica
DSCN8410,169,4,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,194.781,12,0,0,0,0,,Monica
DSCN8411,169,5,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,129.114,10,0,0,0,0,,Monica
DSCN8413,169,6,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,195.045,11,0,0,0,0,,Monica
DSCN8414,169,7,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,515.023,20,0,1,0,0,,Monica
DSCN8396,170,1,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,NA,NA,NA,NA,NA,NA,,Monica
DSCN8398,170,2,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,168.796,7,0,0,0,0,,Monica
DSCN8399,170,3,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,163.767,6,0,0,0,0,,Monica
DSCN8400,170,4,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,164.125,8,0,0,0,0,,Monica
DSCN8403,170,5,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,191.191,8,0,0,0,0,,Monica
DSCN8404,170,6,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,158.343,7,0,0,0,0,,Monica
DSCN8405,170,7,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,313.646,11,0,0,0,0,,Monica
DSCN8432,171,1,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,103.925,9,0,0,0,0,,Monica
DSCN8433,171,2,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,118.295,8,0,0,0,0,Imagen cortada,Monica
DSCN8434,171,3,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,126.413,8,0,0,0,0,,Monica
DSCN8435,171,4,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,158.82,8,0,0,0,0,,Monica
DSCN8436,171,5,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,189.787,7,0,0,0,0,,Monica
DSCN8438,171,6,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,97.986,10,0,0,0,0,,Monica
DSCN8440,171,7,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,283.742,15,0,0,0,0,,Monica
DSCN8416,172,1,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,158.419,9,0,0,0,0,,Monica
DSCN8417,172,2,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,160.421,9,0,0,0,0,,Monica
DSCN8418,172,3,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,137.092,9,0,0,0,0,,Monica
DSCN8419,172,4,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,224.981,9,0,0,0,0,,Monica
DSCN8420,172,5,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,158.385,8,0,0,0,0,Imagen cortada,Monica
DSCN8421,172,6,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,160.96,10,0,0,0,0,Imagen cortada,Monica
DSCN8422,172,7,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,445.265,19,0,1,0,0,4 pequenos fragmentos en el suelo,Monica
DSCN8424,175,1,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,23.084,1,0,0,0,0,,Monica
DSCN8425,175,2,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,30.528,1,0,0,0,0,,Monica
DSCN8426,175,3,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,41.188,5,0,0,0,0,,Monica
DSCN8427,175,4,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,82.446,5,1,0,1,0,10 pequenos fragmentos en el suelo,Monica
DSCN8428,175,5,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,111.332,8,0,0,0,0,,Monica
DSCN8429,175,6,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,152.634,12,0,0,0,0,,Monica
DSCN8430,175,7,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,165.327,8,0,1,0,0,,Monica
DSCN9001,169,1,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,293.278,10,0,0,0,0,,Monica
DSCN9002,169,2,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,231.582,10,0,0,0,0,,Monica
DSCN9003,169,3,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,276.967,11,0,0,0,0,,Monica
DSCN9004,169,4,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,241.977,12,0,0,0,0,,Monica
DSCN9005,169,5,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,185.736,9,0,0,0,0,,Monica
DSCN9006,169,6,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,301.024,12,0,0,0,0,,Monica
DSCN9007,169,7,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,459.07,17,0,0,0,0,,Monica
DSCN8994,170,1,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,NA,NA,NA,NA,NA,NA,,Monica
DSCN8995,170,2,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,167.762,7,0,0,0,0,,Monica
DSCN8996,170,3,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,178.116,6,0,0,0,0,,Monica
DSCN8997,170,4,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,200.671,8,0,0,0,0,,Monica
DSCN8998,170,5,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,228.691,8,0,0,0,0,,Monica
