photo.code,str.code,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN9926,106,Playa Blanca,NA,arana pequena,NA,NA,5,2022,22-may,439.371,22,0,2,0,0,suma de siete fotografias previas,Amanda
DSCN0534,106,Playa Blanca,NA,arana pequena,NA,NA,6,2022,22-jun,446.042,22,0,6,0,0,partes de la foto no enfocadas,Amanda
DSCN1112,FamGar,Playa Blanca,NA,arana pequena,NA,NA,7,2022,22-jul,397.92,28,0,8,0,0,fragmentos volteados,Amanda
DSCN1130,106,Playa Blanca,NA,arana pequena,NA,NA,7,2022,22-jul,612.881,21,0,10,1,0,"fragmentos con mortalidad parcial muy pequeÃ±os, fragmento perdido estÃ¡ en el suelo marino",Amanda
DSCN8158,106,Playa Blanca,NA,arana pequena,NA,NA,8,2022,ago-22,660.212,21,0,7,1,0,fragmento perdido estÃ¡ en el suelo marino; algunos fragmentos volteados,Amanda
DSCN8160,Sin#,Playa Blanca,NA,arana pequena,NA,NA,8,2022,ago-22,152.45,20,0,7,0,0,Algunos fragmentos estÃ¡n volteados y cuesta saber si tienen mortalidad parcial,Amanda
DSCN8163,FamGar,Playa Blanca,NA,arana pequena,NA,NA,8,2022,ago-22,326.295,29,0,11,0,0,revisar 1 blanca*; fragmentos volteados,Amanda
DSCN8907,124,Playa Blanca,NA,arana pequena,NA,NA,9,2022,set-22,387.917,29,0,8,0,0,"Fragmentos volteados, dos fragmentos cortado por la cÃ¡mara",Amanda
DSCN8908,sin num 1,Playa Blanca,NA,arana pequena,NA,NA,9,2022,set-22,NA,NA,NA,NA,NA,NA,"Acercamiento, sin etiqueta",Amanda
DSCN8909,sin num 1,Playa Blanca,NA,arana pequena,NA,NA,9,2022,set-22,193.192,19,0,4,0,0,FotografÃ­a desenfocada,Amanda
DSCN8910,106,Playa Blanca,NA,arana pequena,NA,NA,9,2022,set-22,842.109,21,0,5,1,0,La foto no cubre por completo un fragmento,Amanda
DSCN8912,sin num 2,Playa Blanca,NA,arana pequena,NA,NA,9,2022,set-22,NA,NA,NA,NA,NA,NA,"Acercamiento, sin etiqueta",Amanda
DSCN8913,sin num 2,Playa Blanca,NA,arana pequena,NA,NA,9,2022,set-22,178.44,19,0,2,0,0,"Fragmento completamente tapado por la varilla, otro cortado por la foto",Amanda
DSCN9480,123,Playa Blanca,NA,arana pequena,NA,NA,10,2022,23-oct,695.506,33,0,6,0,0,Algunos fragmentos desenfocados,Amanda
DSCN9483,120,Playa Blanca,NA,arana pequena,NA,NA,10,2022,23-oct,291.586,18,0,9,1,0,-,Amanda
DSCN9484,106,Playa Blanca,NA,arana pequena,NA,NA,10,2022,23-oct,1000.005,21,0,12,1,0,Partes con mortalidad parcial muy pequeÃ±as,Amanda
DSCN9485,124,Playa Blanca,NA,arana pequena,NA,NA,10,2022,23-oct,454.854,27,0,16,1,0,Fragmentos volteados; fragmento perdido en el suelo marino,Amanda
DSCN9488,120,Playa Blanca,NA,arana pequena,NA,NA,10,2022,23-oct,NA,NA,NA,NA,NA,NA,Mismo Ã¡ngulo de la misma arana,Amanda
DSCN9489,106,Playa Blanca,NA,arana pequena,NA,NA,10,2022,23-oct,NA,NA,NA,NA,NA,NA,Mismo Ã¡ngulo de la misma arana,Amanda
DSCN9491,123,Playa Blanca,NA,arana pequena,NA,NA,10,2022,23-oct,NA,NA,NA,NA,NA,NA,Mismo Ã¡ngulo de la misma arana,Amanda
DSCN0189,123,Playa Blanca,NA,arana pequena,NA,NA,11,2022,23-nov,602.347,31,0,19,0,0,-,Amanda
DSCN0191,106,Playa Blanca,NA,arana pequena,NA,NA,11,2022,23-nov,1029.994,20,1,15,1,0,Pendiente; partes con mortalidad parcial muy pequeÃ±as,Amanda
DSCN0197,124,Playa Blanca,NA,arana pequena,NA,NA,11,2022,23-nov,683.623,28,1,15,0,0,La foto no cubre por completo un fragmento,Amanda
DSCN0217,120,Playa Blanca,NA,arana pequena,NA,NA,11,2022,23-nov,345.003,17,0,7,3,0,-,Amanda
DSCN0360,123,Playa Blanca,NA,arana pequena,NA,NA,12,2022,dic-23,795.632,31,0,24,0,0,-,Amanda
DSCN0362,106,Playa Blanca,NA,arana pequena,NA,NA,12,2022,dic-23,1141.527,20,0,9,1,0,-,Amanda
DSCN0374,124,Playa Blanca,NA,arana pequena,NA,NA,12,2022,dic-23,886.547,30,0,9,2,0,Algunos fragmentos estÃ¡n volteados,Amanda
DSCN0396,120,Playa Blanca,NA,arana pequena,NA,NA,12,2022,dic-23,464.789,18,0,7,1,1,Un fragmento volteado,Amanda
DSCN1233,151,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-24,116.458,18,0,0,2,0,La foto estÃ¡ recortada en la parte superior.,Emma
DSCN1238,120,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-23,552.035,17,0,8,1,0,"Un fragmento con mortalidad total parece ser parte de esta arana, al igual que de la que estÃ¡ a la par",Amanda
DSCN1245,124,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-23,982.642,29,0,12,1,0,Poca visibilidad en ciertos fragmentos; algunos enterrados en el suelo marino,Amanda
DSCN1246,106,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-23,1075.328,19,0,8,0,0,Hay fragmentos que se pudieron haber caido de la aran en el suelo marino,Amanda
DSCN1247,123,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-23,385.963,24,0,14,0,0,"La parte inferior estÃ¡ cubierta por arena, por lo que no se tiene el conteo total, ni el dato exacto de mortalidad o pÃ©rdida.",Amanda
DSCN1255,150,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-24,348.615,15,0,0,3,0,La foto fue tomada desde un Ã¡ngulo que podrÃ­a sesgar la escala; recortada en la parte superior.,Emma
DSCN1256,149,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-24,256.528,20,1,0,1,0,Model N: 11/15/2022,Emma
DSCN1258,154,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-24,384.095,23,0,0,0,0,NA,Emma
DSCN1264,82,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-23,96.348,21,0,10,0,0,FotografÃ­a cortada en medio de un fragmento,Amanda
DSCN1265,147,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-23,108.158,20,0,11,1,0,Fragmentos pequeÃ±os,Amanda
DSCN1266,115,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-23,60.472,19,0,12,1,0,Fragmentos muy pequeÃ±os,Amanda
DSCN1267,59,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-23,59.511,14,0,8,4,0,Fragmentos muy pequeÃ±os y bastante daÃ±ados,Amanda
DSCN1268,155,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-23,123.12,23,1,12,1,0,Fragmentos pequeÃ±os,Amanda
DSCN1269,99,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-23,179.52,24,0,15,3,0,"PequeÃ±os fragmentos, mucha mortalidad parcial",Amanda
DSCN1270,146,Playa Blanca,NA,arana pequena,NA,NA,1,2023,ene-23,221.184,30,0,25,1,0,Gran Ã­ndice de mortalidad parcial,Amanda
DSCN2020,99,Playa Blanca,NA,arana pequena,NA,NA,2,2023,23-feb,266.864,25,0,19,0,0,FotografÃ­a un poco oscura,Amanda
DSCN2022,155,Playa Blanca,NA,arana pequena,NA,NA,2,2023,23-feb,169.341,24,0,19,1,0,Gran nivel de mortalidad parcial,Amanda
DSCN2024,146,Playa Blanca,NA,arana pequena,NA,NA,2,2023,23-feb,254.836,28,0,23,1,0,Gran nivel de mortalidad parcial,Amanda
DSCN2026,115,Playa Blanca,NA,arana pequena,NA,NA,2,2023,23-feb,80.626,17,0,15,1,0,Gran nivel de mortalidad parcial,Amanda
DSCN2028,59,Playa Blanca,NA,arana pequena,NA,NA,2,2023,23-feb,124.516,12,0,10,0,0,"Pocos fragmentos, fotografÃ­a desenfocada",Amanda
DSCN2030,147,Playa Blanca,NA,arana pequena,NA,NA,2,2023,23-feb,144.315,20,0,16,0,0,Buen desarrollo,Amanda
DSCN2032,82,Playa Blanca,NA,arana pequena,NA,NA,2,2023,23-feb,156.464,21,0,14,0,0,Fragmentos pequeÃ±os,Amanda
DSCN9749,148,Playa Blanca,NA,arana pequena,NA,NA,2,2023,abr-23,225.265,8,0,1,0,0,Agua con poca visibilidad,Jorge
DSCN2748,79,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,444.898,20,0,0,0,0,,Paula
DSCN2750,82,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,81.626,21,0,18,1,0,Fragmentos pequeÃ±os,Amanda
DSCN2751,147,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,207.305,20,0,19,1,0,Gran nivel de mortalidad parcial,Amanda
DSCN2752,115,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,305.732,21,1,11,0,0,Fragmento con mortalidad cubierto de alga,Amanda
DSCN2753,59,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,279.667,16,0,11,1,0,Fragmentos de mayor tamaÃ±o,Amanda
DSCN2754,155,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,202.018,22,0,19,2,0,Gran nivel de mortalidad parcial,Amanda
DSCN2755,146,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,303.546,28,0,22,0,0,Gran nivel de mortalidad parcial,Amanda
DSCN2756,99,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,372.049,23,0,7,2,0,Fragmentos perdidos en el lecho marino,Amanda
DSCN2761,80,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,462.214,25,0,5,1,0,Duda con algas,Paula
DSCN2764,149,Playa Blanca,NA,arana pequena,NA,NA,3,2023,24-mar,433.186,22,0,0,2,0,NA,Emma
DSCN2766,154,Playa Blanca,NA,arana pequena,NA,NA,3,2023,24-mar,564.254,18,0,0,0,0,NA,Emma
DSCN2767,81,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,369.858,24,0,1,0,2,,Paula
DSCN2776,108,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,926.403,23,0,3,0,0,,Paula
DSCN2777,148,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,686.552,19,0,0,0,0,,Jorge
DSCN2778,151,Playa Blanca,NA,arana pequena,NA,NA,3,2023,24-mar,764.716,23,1,0,2,0,NA,Emma
DSCN2780,86,Playa Blanca,NA,arana pequena,NA,NA,3,2023,23-mar,290.785,23,0,2,0,0,,Paula
DSCN3725,74,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,404.77,19,0,1,0,0,,Daniela
DSCN3727,82,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,235.074,21,0,13,2,0,Poca mortalidad,Amanda
DSCN3729,147,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,309.747,20,0,16,0,0,Gran nivel de mortalidad parcial,Amanda
DSCN3731,59,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,373.972,17,0,9,0,0,Buen desarrollo,Amanda
DSCN3733,115,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,317.919,21,0,13,0,0,Un pez tapÃ³ parte de dos fragmentos,Amanda
DSCN3735,155,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,269.458,22,0,15,2,0,Gran nivel de mortalidad parcial,Amanda
DSCN3737,146,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,536.221,28,0,16,1,0,Fragmentos cortados por la fotografÃ­a,Amanda
DSCN3739,99,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,486.373,21,0,10,3,0,Gran mortalidad en el fondo,Amanda
DSCN3742,395,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-24,276.435,21,2,0,0,3,,Priscilla
DSCN3744,380,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-24,201.364,25,0,0,0,0,NA,Emma
DSCN3746,382,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,184.54,19,0,2,0,5,,Mack
DSCN3748,383,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,157.712,19,2,1,0,6,,Mack
DSCN3750,392,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,558.202,28,0,4,0,1,,Eliana
DSCN3752,386,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,248.642,23,0,1,0,0,,Eliana
DSCN3754,391,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,543.877,22,0,0,1,1,parcialmente blanq,Eliana
DSCN3756,381,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,257.783,17,0,1,0,4,,Mack
DSCN3758,384,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,365.373,29,0,1,1,9,,Mack
DSCN3760,398,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,2000.923,24,0,0,0,2,,Louanne
DSCN3762,70,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,191.58,24,0,0,0,1,,Daniela
DSCN3764,387,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,272.461,22,0,0,0,0,,Eliana
DSCN3766,399,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,1917.596,20,0,0,4,2,,Louanne
DSCN3768,390,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,307.07,22,0,0,0,0,,Eliana
DSCN3770,133,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,334.612,25,0,0,1,0,,Saul
DSCN3770,133,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,334.612,25,0,0,1,0,,SaÃºl
DSCN3772,86,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,306.132,22,0,2,1,0,Foto cortada,Paula
DSCN3778,396,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-24,322.059,13,0,0,0,1,,Priscilla
DSCN3780,385,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,261.603,24,0,2,0,5,,Mack
