photo.code,str.code,lado,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN8590,174,1,Playa Blanca,,arana,,,1,2021,ene-24,148.537,6,0,0,0,0,,Andrea
DSCN8591,174,2,Playa Blanca,,arana,,,1,2021,ene-24,90.308,4,0,1,0,0,,Andrea
DSCN8592,174,3,Playa Blanca,,arana,,,1,2021,ene-24,169.547,7,0,1,0,0,,Andrea
DSCN8594,174,4,Playa Blanca,,arana,,,1,2021,ene-24,122.735,4,0,1,0,0,El del medio segunda fila: blanq/muerto,Andrea
DSCN8595,174,5,Playa Blanca,,arana,,,1,2021,ene-24,100.524,4,0,0,0,0,,Andrea
DSCN8596,174,6,Playa Blanca,,arana,,,1,2021,ene-24,135.267,4,0,1,0,0,,Andrea
DSCN8597,174,7,Playa Blanca,,arana,,,1,2021,ene-24,247.062,17,0,0,0,0,,Andrea
DSCN8580,173,1,Playa Blanca,,arana,,,1,2021,ene-24,108.391,6,0,0,0,0,,Andrea
DSCN8581,173,2,Playa Blanca,,arana,,,1,2021,ene-24,53.490,5,0,2,0,0,,Andrea
DSCN8582,173,3,Playa Blanca,,arana,,,1,2021,ene-24,67.023,5,0,2,0,0,,Andrea
DSCN8584,173,4,Playa Blanca,,arana,,,1,2021,ene-24,75.040,6,0,0,0,0,,Andrea
DSCN8585,173,5,Playa Blanca,,arana,,,1,2021,ene-24,64.484,5,0,1,0,0,,Andrea
DSCN8586,173,6,Playa Blanca,,arana,,,1,2021,ene-24,37.416,6,0,3,0,0,,Andrea
DSCN8588,173,7,Playa Blanca,,arana,,,1,2021,ene-24,272.344,18,0,2,0,0,,Andrea
DSCN8578,20,7,Playa Blanca,,arana,,,1,2021,ene-24,286.664,6,0,6,0,0,,Andrea
DSCN8570,19,1,Playa Blanca,,arana,,,1,2021,ene-24,86.484,6,0,3,0,0,,Andrea
DSCN8571,19,2,Playa Blanca,,arana,,,1,2021,ene-24,72.081,5,0,1,0,0,,Andrea
DSCN8572,19,3,Playa Blanca,,arana,,,1,2021,ene-24,79.287,6,0,1,0,0,,Andrea
DSCN8573,19,4,Playa Blanca,,arana,,,1,2021,ene-24,73.363,6,0,0,0,0,,Andrea
DSCN8574,19,5,Playa Blanca,,arana,,,1,2021,ene-24,62.604,8,0,2,0,0,Ultima fila izq,Andrea
DSCN8575,19,6,Playa Blanca,,arana,,,1,2021,ene-24,67.343,5,0,1,0,0,,Andrea
DSCN8576,19,7,Playa Blanca,,arana,,,1,2021,ene-24,195.343,17,0,3,0,0,,Andrea
DSCN8568,18,7,Playa Blanca,,arana,,,1,2021,ene-24,93.407,1,0,0,0,0,,Andrea
DSCN8560,17,1,Playa Blanca,,arana,,,1,2021,ene-24,40.650,8,0,0,0,0,,Andrea
DSCN8561,17,2,Playa Blanca,,arana,,,1,2021,ene-24,33.362,9,0,1,0,0,No se ve muy bien,Andrea
DSCN8562,17,3,Playa Blanca,,arana,,,1,2021,ene-24,52.607,7,0,0,0,0,,Andrea
