photo.code,str.code,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN9919,106,Playa Blanca,0,arana pequena,,,5,2022,may-22,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN9920,106,Playa Blanca,1,arana pequena,,,5,2022,may-22,16.933,2,0,0,0,0,fragmento izquierdo en siguiente imagen,Amanda
DSCN9921,106,Playa Blanca,2,arana pequena,,,5,2022,may-22,36.063,2,0,1,0,0,fragmento izquierdo en siguiente imagen,Amanda
DSCN9922,106,Playa Blanca,3,arana pequena,,,5,2022,may-22,44.642,3,0,0,0,0,-,Amanda
DSCN9923,106,Playa Blanca,4,arana pequena,,,5,2022,may-22,37.442,2,0,0,0,0,"fragmento izquierdo en siguiente imagen, otro fragmento atrás de varilla",Amanda
DSCN9924,106,Playa Blanca,5,arana pequena,,,5,2022,may-22,25.776,2,0,0,0,0,fragmento izquierdo en siguiente imagen,Amanda
DSCN9925,106,Playa Blanca,6,arana pequena,,,5,2022,may-22,20.815,2,0,1,0,0,fragmento izquierdo en siguiente imagen,Amanda
DSCN9926,106,Playa Blanca,7,arana pequena,,,5,2022,may-22,257.700,9,0,1,0,0,-,Amanda
DSCN0533,106,Playa Blanca,,arana pequena,,,6,2022,jun-22,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN0534,106,Playa Blanca,,arana pequena,,,6,2022,jun-22,446.042,22,0,6,0,0,partes de la foto no enfocadas,Amanda
DSCN1129,106,Playa Blanca,,arana pequena,,,7,2022,jul-22,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN1130,106,Playa Blanca,,arana pequena,,,7,2022,jul-22,612.881,21,0,10,1,0,"fragmentos con mortalidad parcial muy pequeños, fragmento perdido está en el suelo marino",Amanda
DSCN1112,FamGar,Playa Blanca,,arana pequena,,,7,2022,jul-22,397.920,28,0,8,0,0,fragmentos volteados,Amanda
DSCN8157,106,Playa Blanca,,arana pequena,,,8,2022,ago-22,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN8158,106,Playa Blanca,,arana pequena,,,8,2022,ago-22,660.212,21,0,7,1,0,fragmento perdido está en el suelo marino; algunos fragmentos volteados,Amanda
DSCN8162,FamGar,Playa Blanca,,arana pequena,,,8,2022,ago-22,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN8163,FamGar,Playa Blanca,,arana pequena,,,8,2022,ago-22,326.295,29,0,11,0,0,revisar 1 blanca*; fragmentos volteados,Amanda
DSCN8159,Sin#,Playa Blanca,,arana pequena,,,8,2022,ago-22,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN8160,Sin#,Playa Blanca,,arana pequena,,,8,2022,ago-22,152.450,20,0,7,0,0,Algunos fragmentos están volteados y cuesta saber si tienen mortalidad parcial,Amanda
DSCN8911,106,Playa Blanca,,arana pequena,,,9,2022,set-22,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN8910,106,Playa Blanca,,arana pequena,,,9,2022,set-22,842.109,21,0,5,1,0,La foto no cubre por completo un fragmento,Amanda
DSCN8906,124,Playa Blanca,,arana pequena,,,9,2022,set-22,NA,NA,NA,NA,NA,NA,Etiqueta arana; arana antes llamada FamGar,Amanda
DSCN8907,124,Playa Blanca,,arana pequena,,,9,2022,set-22,387.917,29,0,8,0,0,"Fragmentos volteados, dos fragmentos cortado por la cámara",Amanda
DSCN8908,sin num 1,Playa Blanca,,arana pequena,,,9,2022,set-22,NA,NA,NA,NA,NA,NA,"Acercamiento, sin etiqueta",Amanda
DSCN8909,sin num 1,Playa Blanca,,arana pequena,,,9,2022,set-22,193.192,19,0,4,0,0,Fotografía desenfocada,Amanda
DSCN8912,sin num 2,Playa Blanca,,arana pequena,,,9,2022,set-22,NA,NA,NA,NA,NA,NA,"Acercamiento, sin etiqueta",Amanda
DSCN8913,sin num 2,Playa Blanca,,arana pequena,,,9,2022,set-22,178.440,19,0,2,0,0,"Fragmento completamente tapado por la varilla, otro cortado por la foto",Amanda
DSCN9484,106,Playa Blanca,,arana pequena,,,10,2022,oct-23,1000.005,21,0,12,1,0,Partes con mortalidad parcial muy pequeñas,Amanda
DSCN9489,106,Playa Blanca,,arana pequena,,,10,2022,oct-23,NA,NA,NA,NA,NA,NA,Mismo ángulo de la misma arana,Amanda
DSCN9485,124,Playa Blanca,,arana pequena,,,10,2022,oct-23,454.854,27,0,16,1,0,Fragmentos volteados; fragmento perdido en el suelo marino,Amanda
DSCN9483,120,Playa Blanca,,arana pequena,,,10,2022,oct-23,291.586,18,0,9,1,0,-,Amanda
DSCN9488,120,Playa Blanca,,arana pequena,,,10,2022,oct-23,NA,NA,NA,NA,NA,NA,Mismo ángulo de la misma arana,Amanda
DSCN9480,123,Playa Blanca,,arana pequena,,,10,2022,oct-23,695.506,33,0,6,0,0,Algunos fragmentos desenfocados,Amanda
DSCN9491,123,Playa Blanca,,arana pequena,,,10,2022,oct-23,NA,NA,NA,NA,NA,NA,Mismo ángulo de la misma arana,Amanda
DSCN0190,106,Playa Blanca,,arana pequena,,,11,2022,nov-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN0191,106,Playa Blanca,,arana pequena,,,11,2022,nov-23,1029.994,20,1,15,1,0,Pendiente; partes con mortalidad parcial muy pequeñas,Amanda
DSCN0196,124,Playa Blanca,,arana pequena,,,11,2022,nov-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN0197,124,Playa Blanca,,arana pequena,,,11,2022,nov-23,683.623,28,1,15,0,0,La foto no cubre por completo un fragmento,Amanda
DSCN0216,120,Playa Blanca,,arana pequena,,,11,2022,nov-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN0217,120,Playa Blanca,,arana pequena,,,11,2022,nov-23,345.003,17,0,7,3,0,-,Amanda
DSCN0188,123,Playa Blanca,,arana pequena,,,11,2022,nov-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN0189,123,Playa Blanca,,arana pequena,,,11,2022,nov-23,602.347,31,0,19,0,0,-,Amanda
DSCN0361,106,Playa Blanca,,arana pequena,,,12,2022,dic-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN0362,106,Playa Blanca,,arana pequena,,,12,2022,dic-23,1141.527,20,0,9,1,0,-,Amanda
DSCN0373,124,Playa Blanca,,arana pequena,,,12,2022,dic-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN0374,124,Playa Blanca,,arana pequena,,,12,2022,dic-23,886.547,30,0,9,2,0,Algunos fragmentos están volteados,Amanda
DSCN0395,120,Playa Blanca,,arana pequena,,,12,2022,dic-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN0396,120,Playa Blanca,,arana pequena,,,12,2022,dic-23,464.789,18,0,7,1,1,Un fragmento volteado,Amanda
DSCN0359,123,Playa Blanca,,arana pequena,,,12,2022,dic-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN0360,123,Playa Blanca,,arana pequena,,,12,2022,dic-23,795.632,31,0,24,0,0,-,Amanda
DSCN1246,106,Playa Blanca,,arana pequena,,,1,2023,ene-23,1075.328,19,0,8,0,0,Hay fragmentos que se pudieron haber caido de la aran en el suelo marino,Amanda
DSCN1245,124,Playa Blanca,,arana pequena,,,1,2023,ene-23,982.642,29,0,12,1,0,Poca visibilidad en ciertos fragmentos; algunos enterrados en el suelo marino,Amanda
DSCN1238,120,Playa Blanca,,arana pequena,,,1,2023,ene-23,552.035,17,0,8,1,0,"Un fragmento con mortalidad total parece ser parte de esta arana, al igual que de la que está a la par",Amanda
DSCN1247,123,Playa Blanca,,arana pequena,,,1,2023,ene-23,385.963,24,0,14,0,0,"La parte inferior está  cubierta por arena, por lo que no se tiene el conteo total, ni el dato exacto de mortalidad o pérdida.",Amanda
DSCN1267,59,Playa Blanca,,arana pequena,,,1,2023,ene-23,59.511,14,0,8,4,0,Fragmentos muy pequeños y bastante dañados,Amanda
