photo.code,str.code,lado,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
P2230068,226,,Cacique,,arana pequena,,,2,2024,feb-24,NA,NA,NA,NA,NA,NA,Foto de etiqueta,Alexa
P2230069,226,,Cacique,,arana pequena,,,2,2024,feb-24,216.611,14,0,1,1,0,Mala visibilidad,Alexa
P2230070,226,,Cacique,,arana pequena,,,2,2024,feb-24,NA,NA,NA,NA,NA,NA,Foto repetida,Alexa
P2230074,213,,Cacique,,arana pequena,,,2,2024,feb-24,NA,NA,NA,NA,NA,NA,Foto de etiqueta,Alexa
P2230075,213,,Cacique,,arana pequena,,,2,2024,feb-24,174.463,18,0,1,0,0,Mala visibilidad,Alexa
P2230076,213,,Cacique,,arana pequena,,,2,2024,feb-24,NA,NA,NA,NA,NA,NA,Foto repetida,Alexa
P2230066,214,,Cacique,,arana pequena,,,2,2024,feb-24,NA,NA,NA,NA,NA,NA,Foto de etiqueta,Alexa
P2230067,214,,Cacique,,arana pequena,,,2,2024,feb-24,242.556,19,0,0,0,0,,Alexa
P2230026,215,,Cacique,,arana pequena,,,2,2024,feb-24,NA,NA,NA,NA,NA,NA,Foto etiqueta,Alexa
P2230027,215,,Cacique,,arana pequena,,,2,2024,feb-24,278.540,24,0,2,1,0,,Alexa
P2230020,217,,Cacique,,arana pequena,,,2,2024,feb-24,NA,NA,NA,NA,NA,NA,Foto etiqueta,Alexa
P2230021,217,,Cacique,,arana pequena,,,2,2024,feb-24,NA,NA,NA,NA,NA,NA,Foto repetida,Alexa
P2230022,217,,Cacique,,arana pequena,,,2,2024,feb-24,259.129,24,0,2,0,0,,Alexa
P2230047,218,,Cacique,,arana pequena,,,2,2024,feb-24,NA,NA,NA,NA,NA,NA,Foto etiqueta,Alexa
P2230048,218,,Cacique,,arana pequena,,,2,2024,feb-24,414.619,24,0,0,0,0,,Alexa
P2230049,218,,Cacique,,arana pequena,,,2,2024,feb-24,NA,NA,NA,NA,NA,NA,Foto repetida,Alexa
P2230050,219,,Cacique,,arana pequena,,,2,2024,feb-24,NA,NA,NA,NA,NA,NA,Foto etiqueta,Alexa
P2230051,219,,Cacique,,arana pequena,,,2,2024,feb-24,254.920,23,0,0,0,0,,Alexa
P2230052,219,,Cacique,,arana pequena,,,2,2024,feb-24,NA,NA,NA,NA,NA,NA,Foto repetida,Alexa
