photo.code,str.code,lado,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,analizador
DSCN8484,91,1,Playa Pelonas,,arana,,,11,2021,22-Nov,67.308,5,0,0,0,0,,Tania
DSCN8485 ,91,2,Playa Pelonas,,arana,,,11,2021,22-Nov,72.319,8,0,0,0,1,coral de arriba medio se ve blanqueado,Tania
DSCN8486,91,3,Playa Pelonas,,arana,,,11,2021,22-Nov,97.51,6,0,0,0,0,,Tania
DSCN8487,91,4,Playa Pelonas,,arana,,,11,2021,22-Nov,55.723,6,0,0,0,0,,Tania
DSCN8488,91,5,Playa Pelonas,,arana,,,11,2021,22-Nov,62.249,6,0,0,0,0,,Tania
DSCN8489,91,6,Playa Pelonas,,arana,,,11,2021,22-Nov,36.857,4,0,0,0,0,,Tania
DSCN8490,91,7,Playa Pelonas,,arana,,,11,2021,22-Nov,29.895,3,0,0,0,0,,Tania
DSCN8492,92,1,Playa Pelonas,,arana,,,11,2021,22-Nov,234.022,9,0,0,0,0,,Tania
DSCN8493,92,2,Playa Pelonas,,arana,,,11,2021,22-Nov,120.746,5,0,0,0,1,Coral medio centro se ve un poco blanqueado,Tania
DSCN8494,92,3,Playa Pelonas,,arana,,,11,2021,22-Nov,66.655,4,0,0,0,0,Coral del medio de la barra de abajo esta volcado asi que se mide en la foto 8497 para tener mejor visión,Tania
DSCN8495,92,4,Playa Pelonas,,arana,,,11,2021,22-Nov,43.374,3,0,0,0,1,"Coral medio abajo blaqueado, el coral del medio de la barra media estaba volteado asi que se mide en la foto 8492 y el coral arriba izquierdo en foto 8498",Tania
DSCN8496,92,5,Playa Pelonas,,arana,,,11,2021,22-Nov,107.801,5,0,0,0,0,,Tania
DSCN8497,92,6,Playa Pelonas,,arana,,,11,2021,22-Nov,27.142,3,0,0,0,0,,Tania
DSCN8498,92,7,Playa Pelonas,,arana,,,11,2021,22-Nov,25.226,1,0,0,0,0,,Tania
DSCN8476,93,1,Playa Pelonas,,arana,,,11,2021,22-Nov,79.572,8,0,0,0,0,,Tania
DSCN8477,93,2,Playa Pelonas,,arana,,,11,2021,22-Nov,51.377,5,0,0,0,0,,Tania
DSCN8478,93,3,Playa Pelonas,,arana,,,11,2021,22-Nov,43.871,5,0,2,0,1,Coral del medio lado izquierdo se ve blanqueado y con mort. par pero no estoy segura,Tania
DSCN8479,93,4,Playa Pelonas,,arana,,,11,2021,22-Nov,79.017,5,0,0,0,0,,Tania
