"photo.code","site","origin","month","year","area.cm2","num.frag","mort.","mort.parc","perd","blanq","structure","structure_fixed","face","data_entry_person","date"
"DSCN8590","Playa Blanca","Marina","1","2021",148.537,6,0,0,0,0,"174","174","1","Digitador_2",2021-01-01
"DSCN8591","Playa Blanca","Marina","1","2021",90.308,4,0,1,0,0,"174","174","2","Digitador_2",2021-01-01
"DSCN8592","Playa Blanca","Marina","1","2021",169.547,7,0,1,0,0,"174","174","3","Digitador_2",2021-01-01
"DSCN8594","Playa Blanca","Marina","1","2021",122.735,4,0,1,0,0,"174","174","4","Digitador_2",2021-01-01
"DSCN8595","Playa Blanca","Marina","1","2021",100.524,4,0,0,0,0,"174","174","5","Digitador_2",2021-01-01
"DSCN8596","Playa Blanca","Marina","1","2021",135.267,4,0,1,0,0,"174","174","6","Digitador_2",2021-01-01
"DSCN8597","Playa Blanca","Marina","1","2021",247.062,17,0,0,0,0,"174","174","7","Digitador_2",2021-01-01
"DSCN8580","Playa Blanca","Marina","1","2021",108.391,6,0,0,0,0,"173","173","1","Digitador_2",2021-01-01
"DSCN8581","Playa Blanca","Marina","1","2021",53.49,5,0,2,0,0,"173","173","2","Digitador_2",2021-01-01
"DSCN8582","Playa Blanca","Marina","1","2021",67.023,5,0,2,0,0,"173","173","3","Digitador_2",2021-01-01
"DSCN8584","Playa Blanca","Marina","1","2021",75.04,6,0,0,0,0,"173","173","4","Digitador_2",2021-01-01
"DSCN8585","Playa Blanca","Marina","1","2021",64.484,5,0,1,0,0,"173","173","5","Digitador_2",2021-01-01
"DSCN8586","Playa Blanca","Marina","1","2021",37.416,6,0,3,0,0,"173","173","6","Digitador_2",2021-01-01
"DSCN8588","Playa Blanca","Marina","1","2021",272.344,18,0,2,0,0,"173","173","7","Digitador_2",2021-01-01
"DSCN8578","Playa Blanca","Marina","1","2021",286.664,6,0,6,0,0,"20","20","7","Digitador_2",2021-01-01
"DSCN8570","Playa Blanca","Marina","1","2021",86.484,6,0,3,0,0,"19","19","1","Digitador_2",2021-01-01
"DSCN8571","Playa Blanca","Marina","1","2021",72.081,5,0,1,0,0,"19","19","2","Digitador_2",2021-01-01
"DSCN8572","Playa Blanca","Marina","1","2021",79.287,6,0,1,0,0,"19","19","3","Digitador_2",2021-01-01
"DSCN8573","Playa Blanca","Marina","1","2021",73.363,6,0,0,0,0,"19","19","4","Digitador_2",2021-01-01
"DSCN8574","Playa Blanca","Marina","1","2021",62.604,8,0,2,0,0,"19","19","5","Digitador_2",2021-01-01
"DSCN8575","Playa Blanca","Marina","1","2021",67.343,5,0,1,0,0,"19","19","6","Digitador_2",2021-01-01
"DSCN8576","Playa Blanca","Marina","1","2021",195.343,17,0,3,0,0,"19","19","7","Digitador_2",2021-01-01
"DSCN8568","Playa Blanca","Marina","1","2021",93.407,1,0,0,0,0,"18","18","7","Digitador_2",2021-01-01
"DSCN8560","Playa Blanca","Jicaro","1","2021",40.65,8,0,0,0,0,"17","17","1","Digitador_2",2021-01-01
"DSCN8561","Playa Blanca","Jicaro","1","2021",33.362,9,0,1,0,0,"17","17","2","Digitador_2",2021-01-01
"DSCN8562","Playa Blanca","Jicaro","1","2021",52.607,7,0,0,0,0,"17","17","3","Digitador_2",2021-01-01
"DSCN8563","Playa Blanca","Jicaro","1","2021",55.37,3,0,1,0,0,"17","17","4","Digitador_2",2021-01-01
"DSCN8564","Playa Blanca","Jicaro","1","2021",54.126,8,0,1,0,0,"17","17","5","Digitador_2",2021-01-01
"DSCN8565","Playa Blanca","Jicaro","1","2021",57.914,7,0,1,0,0,"17","17","6","Digitador_2",2021-01-01
"DSCN8566","Playa Blanca","Jicaro","1","2021",105.983,13,0,3,0,0,"17","17","7","Digitador_2",2021-01-01
"DSCN8511","Playa Blanca","Jicaro","1","2021",49.063,3,0,1,1,0,"11","11","1","Digitador_8",2021-01-01
"DSCN8512","Playa Blanca","Jicaro","1","2021",64.199,6,0,3,0,0,"11","11","2","Digitador_8",2021-01-01
"DSCN8513","Playa Blanca","Jicaro","1","2021",96.159,3,0,0,2,0,"11","11","3","Digitador_8",2021-01-01
"DSCN8514","Playa Blanca","Jicaro","1","2021",108.03,7,0,3,0,0,"11","11","4","Digitador_8",2021-01-01
"DSCN8515","Playa Blanca","Jicaro","1","2021",145.319,5,0,3,0,0,"11","11","5","Digitador_8",2021-01-01
"DSCN8516","Playa Blanca","Jicaro","1","2021",138.085,6,0,3,0,0,"11","11","6","Digitador_8",2021-01-01
"DSCN8517","Playa Blanca","Jicaro","1","2021",162.572,14,0,4,2,0,"11","11","7","Digitador_8",2021-01-01
"DSCN8519","Playa Blanca","Jicaro","1","2021",106.451,5,0,0,0,0,"12","12","1","Digitador_8",2021-01-01
"DSCN8520","Playa Blanca","Jicaro","1","2021",83.52,5,0,0,0,0,"12","12","2","Digitador_8",2021-01-01
"DSCN8521","Playa Blanca","Jicaro","1","2021",35.979,5,0,2,0,0,"12","12","3","Digitador_8",2021-01-01
"DSCN8522","Playa Blanca","Jicaro","1","2021",23.258,7,0,0,0,0,"12","12","4","Digitador_8",2021-01-01
"DSCN8523","Playa Blanca","Jicaro","1","2021",20.803,5,1,0,1,0,"12","12","5","Digitador_8",2021-01-01
