"photo.code","site","month","year","area.cm2","num.frag","mort.","mort.parc","perd","blanq","structure","data_entry_person","date"
"DSCN0534","Playa Blanca","6","2022",446.042,22,0,6,0,0,"106","Amanda",2022-06-01
"DSCN1130","Playa Blanca","7","2022",612.881,21,0,10,1,0,"106","Amanda",2022-07-01
"DSCN1112","Playa Blanca","7","2022",397.92,28,0,8,0,0,"FamGar","Amanda",2022-07-01
"DSCN8158","Playa Blanca","8","2022",660.212,21,0,7,1,0,"106","Amanda",2022-08-01
"DSCN8163","Playa Blanca","8","2022",326.295,29,0,11,0,0,"FamGar","Amanda",2022-08-01
"DSCN8160","Playa Blanca","8","2022",152.45,20,0,7,0,0,"Sin#","Amanda",2022-08-01
"DSCN8910","Playa Blanca","9","2022",842.109,21,0,5,1,0,"106","Amanda",2022-09-01
"DSCN8907","Playa Blanca","9","2022",387.917,29,0,8,0,0,"124","Amanda",2022-09-01
"DSCN8909","Playa Blanca","9","2022",193.192,19,0,4,0,0,"sin num 1","Amanda",2022-09-01
"DSCN8913","Playa Blanca","9","2022",178.44,19,0,2,0,0,"sin num 2","Amanda",2022-09-01
"DSCN9484","Playa Blanca","10","2022",1000.005,21,0,12,1,0,"106","Amanda",2022-10-01
"DSCN9485","Playa Blanca","10","2022",454.854,27,0,16,1,0,"124","Amanda",2022-10-01
"DSCN9483","Playa Blanca","10","2022",291.586,18,0,9,1,0,"120","Amanda",2022-10-01
"DSCN9480","Playa Blanca","10","2022",695.506,33,0,6,0,0,"123","Amanda",2022-10-01
"DSCN0191","Playa Blanca","11","2022",1029.994,20,1,15,1,0,"106","Amanda",2022-11-01
"DSCN0197","Playa Blanca","11","2022",683.623,28,1,15,0,0,"124","Amanda",2022-11-01
"DSCN0217","Playa Blanca","11","2022",345.003,17,0,7,3,0,"120","Amanda",2022-11-01
"DSCN0189","Playa Blanca","11","2022",602.347,31,0,19,0,0,"123","Amanda",2022-11-01
"DSCN0362","Playa Blanca","12","2022",1141.527,20,0,9,1,0,"106","Amanda",2022-12-01
"DSCN0374","Playa Blanca","12","2022",886.547,30,0,9,2,0,"124","Amanda",2022-12-01
"DSCN0396","Playa Blanca","12","2022",464.789,18,0,7,1,1,"120","Amanda",2022-12-01
"DSCN0360","Playa Blanca","12","2022",795.632,31,0,24,0,0,"123","Amanda",2022-12-01
"DSCN1246","Playa Blanca","1","2023",1075.328,19,0,8,0,0,"106","Amanda",2023-01-01
"DSCN1245","Playa Blanca","1","2023",982.642,29,0,12,1,0,"124","Amanda",2023-01-01
"DSCN1238","Playa Blanca","1","2023",552.035,17,0,8,1,0,"120","Amanda",2023-01-01
"DSCN1247","Playa Blanca","1","2023",385.963,24,0,14,0,0,"123","Amanda",2023-01-01
"DSCN1267","Playa Blanca","1","2023",59.511,14,0,8,4,0,"59","Amanda",2023-01-01
"DSCN1264","Playa Blanca","1","2023",96.348,21,0,10,0,0,"82","Amanda",2023-01-01
"DSCN1269","Playa Blanca","1","2023",179.52,24,0,15,3,0,"99","Amanda",2023-01-01
"DSCN1266","Playa Blanca","1","2023",60.472,19,0,12,1,0,"115","Amanda",2023-01-01
"DSCN1270","Playa Blanca","1","2023",221.184,30,0,25,1,0,"146","Amanda",2023-01-01
"DSCN1265","Playa Blanca","1","2023",108.158,20,0,11,1,0,"147","Amanda",2023-01-01
"DSCN1268","Playa Blanca","1","2023",123.12,23,1,12,1,0,"155","Amanda",2023-01-01
"DSCN2028","Playa Blanca","2","2023",124.516,12,0,10,0,0,"59","Amanda",2023-02-01
"DSCN2032","Playa Blanca","2","2023",156.464,21,0,14,0,0,"82","Amanda",2023-02-01
"DSCN2020","Playa Blanca","2","2023",266.864,25,0,19,0,0,"99","Amanda",2023-02-01
"DSCN2026","Playa Blanca","2","2023",80.626,17,0,15,1,0,"115","Amanda",2023-02-01
"DSCN2024","Playa Blanca","2","2023",254.836,28,0,23,1,0,"146","Amanda",2023-02-01
"DSCN2030","Playa Blanca","2","2023",144.315,20,0,16,0,0,"147","Amanda",2023-02-01
"DSCN2022","Playa Blanca","2","2023",169.341,24,0,19,1,0,"155","Amanda",2023-02-01
"DSCN2753","Playa Blanca","3","2023",279.667,16,0,11,1,0,"59","Amanda",2023-03-01
"DSCN2750","Playa Blanca","3","2023",81.626,21,0,18,1,0,"82","Amanda",2023-03-01
"DSCN2756","Playa Blanca","3","2023",372.049,23,0,7,2,0,"99","Amanda",2023-03-01
"DSCN2752","Playa Blanca","3","2023",305.732,21,1,11,0,0,"115","Amanda",2023-03-01
"DSCN2755","Playa Blanca","3","2023",303.546,28,0,22,0,0,"146","Amanda",2023-03-01
"DSCN2751","Playa Blanca","3","2023",207.305,20,0,19,1,0,"147","Amanda",2023-03-01
"DSCN2754","Playa Blanca","3","2023",202.018,22,0,19,2,0,"155","Amanda",2023-03-01
"DSCN3731","Playa Blanca","4","2023",373.972,17,0,9,0,0,"59","Amanda",2023-04-01
"DSCN3727","Playa Blanca","4","2023",235.074,21,0,13,2,0,"82","Amanda",2023-04-01
"DSCN3739","Playa Blanca","4","2023",486.373,21,0,10,3,0,"99","Amanda",2023-04-01
"DSCN3733","Playa Blanca","4","2023",317.919,21,0,13,0,0,"115","Amanda",2023-04-01
"DSCN3737","Playa Blanca","4","2023",536.221,28,0,16,1,0,"146","Amanda",2023-04-01
"DSCN3729","Playa Blanca","4","2023",309.747,20,0,16,0,0,"147","Amanda",2023-04-01
"DSCN3735","Playa Blanca","4","2023",269.458,22,0,15,2,0,"155","Amanda",2023-04-01
